	dass	dfcp
.	278.0	2.0
ich	276.0	5.0
du	269.0	4.0
es	209.0	2.0
und	187.0	3.0
,	177.0	11.0
?	170.0	5.0
de	164.0	2.0
das	163.0	2.0
so	163.0	3.0
isch	156.0	7.0
sie	148.0	2.0
er	131.0	2.0
i	129.0	3.0
si	127.0	2.0
mer	126.0	2.0
...	113.0	4.0
d	105.0	1.0
nid	101.0	2.0
emojiQfaceWithTearsOfJoy	96.0	
au	95.0	
no	94.0	1.0
ned	93.0	1.0
denn	88.0	
am	88.0	2.0
dass	87.0	3.0
ish	82.0	
mit	80.0	3.0
uf	78.0	2.0
die	78.0	2.0
mir	78.0	1.0
hesch	70.0	
nöd	69.0	
het	69.0	
han	68.0	
aber	67.0	1.0
!	67.0	1.0
hend	62.0	
s	62.0	2.0
bisch	61.0	4.0
mediaQremoved	57.0	2.0
..	56.0	
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	53.0	2.0
sind	52.0	1.0
vo	52.0	1.0
en	51.0	1.0
mich	49.0	
oder	48.0	
scho	48.0	1.0
e	48.0	1.0
:)	47.0	3.0
im	47.0	1.0
da	46.0	1.0
dich	45.0	
bi	45.0	2.0
wo	44.0	1.0
wird	44.0	2.0
di	43.0	2.0
bin	43.0	1.0
Ich	42.0	1.0
Jo	41.0	
in	40.0	
ha	40.0	2.0
der	40.0	2.0
guet	39.0	
was	39.0	2.0
z	38.0	
Und	37.0	1.0
emojiQfaceThrowingAKiss	36.0	3.0
^^	36.0	
ja	36.0	1.0
sich	35.0	
emojiQheavyBlackHeart	35.0	2.0
emojiQwhiteSmilingFace	34.0	
wenn	34.0	
für	33.0	3.0
""""	33.0	
dir	32.0	1.0
tok	32.0	
mal	32.0	1.0
cha	31.0	
nur	31.0	2.0
redactedQ1tokens1characters	31.0	
kei	31.0	1.0
chli	30.0	
will	29.0	
dä	29.0	
wie	29.0	1.0
mini	29.0	2.0
immer	29.0	
ech	29.0	
Aber	29.0	
me	28.0	2.0
jetzt	28.0	
mi	27.0	1.0
haha	27.0	
;)	27.0	3.0
jo	26.0	2.0
gsi	26.0	2.0
a	25.0	
grad	25.0	1.0
mache	25.0	2.0
redactedQ1tokens2characters	25.0	1.0
bish	25.0	
hed	24.0	
cho	24.0	
voll	24.0	
wieder	24.0	1.0
chan	23.0	
xD	23.0	
hahaha	23.0	
emojiQfaceWithStuckOutTongueAndWinkingEye	23.0	
hüt	23.0	
mier	23.0	
doch	22.0	1.0
zum	22.0	
emojiQsmilingFaceWithSmilingEyes	22.0	1.0
nicht	22.0	
ihre	21.0	
redactedQ1tokens4characters	21.0	
morn	21.0	
alli	20.0	
meh	20.0	1.0
weiss	20.0	1.0
chasch	20.0	
go	20.0	1.0
2	19.0	2.0
öppis	19.0	
zu	19.0	1.0
ihn	19.0	
würd	19.0	
I	19.0	
d'	19.0	5.0
)	19.0	
ganz	18.0	1.0
dem	18.0	
redactedQ1tokens3characters	18.0	
Du	18.0	1.0
wer	18.0	
eifach	18.0	
hesh	18.0	1.0
nie	18.0	
redactedQ1tokens6characters	18.0	1.0
ist	18.0	
redactedQ2tokens9characters	17.0	
em	17.0	1.0
'	17.0	
ihr	17.0	
hett	16.0	
weg	16.0	
emojiQthumbsUpSign	16.0	
duuh	16.0	
wuche	16.0	1.0
bim	16.0	
is	16.0	
bis	16.0	1.0
emojiQwinkingFace	16.0	1.0
emojiQflushedFace	16.0	
Ah	15.0	
gmacht	15.0	
Haha	15.0	2.0
redactedQ1tokens5characters	15.0	
[LastName]	15.0	
gönd	15.0	1.0
gseit	15.0	1.0
:	15.0	1.0
üs	15.0	1.0
nd	15.0	
andere	15.0	
sicher	15.0	1.0
als	15.0	
mega	15.0	
Das	15.0	1.0
emojiQgrinningFaceWithSmilingEyes	15.0	2.0
ihm	15.0	
macht	14.0	
Jaa	14.0	
dr	14.0	3.0
&	14.0	1.0
(	14.0	1.0
vom	14.0	
;-)	14.0	
nüm	14.0	1.0
vor	14.0	
:D	14.0	1.0
richtig	14.0	
ou	13.0	
....	13.0	
redactedQ2tokens20characters	13.0	
dier	13.0	
muess	13.0	
halt	13.0	1.0
hät	13.0	1.0
emojiQpensiveFace	13.0	
etz	13.0	
redactedQ4tokens20characters	13.0	
eine	13.0	
3	13.0	
gha	13.0	
hei	13.0	1.0
Ja	13.0	1.0
besser	13.0	
wider	13.0	
hani	12.0	
eus	12.0	
fründ	12.0	
gaht	12.0	
lang	12.0	1.0
us	12.0	
gseh	12.0	
schaffe	12.0	
mis	12.0	1.0
Es	12.0	
also	12.0	
Nei	12.0	
-	12.0	
gar	12.0	
etzt	12.0	
emojiQsmirkingFace	12.0	
*	12.0	
min	12.0	
alles	12.0	1.0
den	12.0	
goht	12.0	
um	12.0	
:(	12.0	
Was	11.0	1.0
redactedQ2tokens8characters	11.0	
emojiQsmilingFaceWithOpenMouth	11.0	
chönd	11.0	
viel	11.0	
sho	11.0	
dini	11.0	
machsch	11.0	
seg	11.0	2.0
erst	11.0	
!!	11.0	
redactedQ4tokens17characters	11.0	
:/	11.0	
willsch	11.0	
denkt	11.0	
redactedQ2tokens6characters	10.0	
sy	10.0	
redactedQ3tokens14characters	10.0	
weisch	10.0	
ebe	10.0	
gah	10.0	
se	10.0	1.0
mol	10.0	
din	10.0	
redactedQ5tokens24characters	10.0	
det	10.0	1.0
redactedQ2tokens13characters	10.0	
sini	10.0	
emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	10.0	1.0
1	10.0	
esch	10.0	
nix	9.0	
emojiQseeNoEvilMonkey	9.0	1.0
lieb	9.0	
bla	9.0	
all	9.0	
:')	9.0	
emojiQsmilingFaceWithHeartShapedEyes	9.0	
redactedQ1tokens7characters	9.0	
redactedQ5tokens23characters	9.0	
:p	9.0	1.0
gern	9.0	
redactedQ3tokens15characters	9.0	
noch	9.0	
emojiQsmilingCatFaceWithHeartShapedEyes	9.0	
Also	9.0	1.0
paar	9.0	
wuchenend	9.0	
eigentlich	9.0	
10	9.0	
redactedQ4tokens15characters	9.0	
ds	9.0	1.0
chash	9.0	
welle	9.0	
eh	9.0	
ohni	9.0	
id	9.0	
sylvestre	9.0	
redactedQ3tokens11characters	9.0	1.0
über	9.0	
na	9.0	
heisst	9.0	
muss	9.0	1.0
odr	9.0	
git	9.0	
Isch	8.0	1.0
ok	8.0	
muesch	8.0	2.0
redactedQ2tokens10characters	8.0	
redactedQ5tokens22characters	8.0	
Ok	8.0	1.0
ihri	8.0	
worde	8.0	
chunnt	8.0	
Bin	8.0	
habe	8.0	
anderi	8.0	
söll	8.0	
fertig	8.0	
emojiQunamusedFace	8.0	
ke	8.0	
verarscht	8.0	
wär	8.0	
zug	8.0	1.0
gmeint	8.0	
Mhm	8.0	
dere	8.0	
ide	8.0	
mach	8.0	
sorry	8.0	
Hahaha	8.0	
nei	8.0	1.0
mim	8.0	
fründin	8.0	1.0
zäme	8.0	
redactedQ4tokens18characters	8.0	
wirsch	8.0	
lüt	8.0	
gad	8.0	1.0
redactedQ2tokens11characters	8.0	
redactedQ2tokens7characters	8.0	
stimmt	8.0	
ab	8.0	
überhaupt	7.0	
Si	7.0	
tag	7.0	
redactedQ3tokens12characters	7.0	
aus	7.0	
ziit	7.0	
nach	7.0	
emojiQokHandSign	7.0	
redactedQ6tokens31characters	7.0	
obe	7.0	
sii	7.0	
chömed	7.0	
luege	7.0	
hast	7.0	
sell	7.0	
bist	7.0	
bett	7.0	
staht	7.0	
4	7.0	
redactedQ3tokens13characters	7.0	
wenns	7.0	
emojiQspeakNoEvilMonkey	7.0	
vill	7.0	
redactedQ1tokens8characters	7.0	
ah	7.0	2.0
redactedQ6tokens29characters	7.0	
sache	7.0	
???	7.0	
redactedQ8tokens38characters	7.0	
emojiQfaceScreamingInFear	7.0	
eim	7.0	1.0
dus	7.0	
können	7.0	
chunt	7.0	
geh	7.0	
an	7.0	
mein	7.0	
recht	7.0	
Han	7.0	
!!!	7.0	
emojiQrevolvingHearts	7.0	
dumm	7.0	
5	6.0	
wür	6.0	
sech	6.0	
ne	6.0	
werdet	6.0	
damit	6.0	
Mir	6.0	
etwas	6.0	
lauft	6.0	
frei	6.0	
schön	6.0	
wett	6.0	
eif	6.0	
problem	6.0	
ume	6.0	
redactedQ4tokens21characters	6.0	1.0
So	6.0	
weder	6.0	
emojiQpalmTree	6.0	
ganze	6.0	
bald	6.0	
nass	6.0	
s'	6.0	
/	6.0	
dech	6.0	
Tag	6.0	
:))	6.0	
xi	6.0	
gfühl	6.0	
redactedQ5tokens25characters	6.0	
film	6.0	
kein	6.0	
denke	6.0	
:-P	6.0	
mers	6.0	
glaub	6.0	
wirst	6.0	
redactedQ5tokens30characters	6.0	
mues	6.0	
meine	6.0	
ehm	6.0	
jede	6.0	
ehn	6.0	
ä	6.0	1.0
geit	6.0	3.0
Bi	6.0	1.0
ga	6.0	1.0
giit	6.0	
müend	6.0	
emojiQfaceWithStuckOutTongue	6.0	1.0
sin	6.0	
chönnd	6.0	
redactedQ5tokens20characters	6.0	
säge	6.0	2.0
weni	6.0	
nonig	6.0	1.0
redactedQ5tokens29characters	6.0	
hald	6.0	
u	6.0	2.0
??	6.0	
drum	6.0	1.0
gseht	6.0	
gärn	6.0	
redactedQ2tokens12characters	6.0	
2.	6.0	
bini	6.0	1.0
ichs	6.0	
abr	6.0	
ig	6.0	1.0
:P	6.0	2.0
redactedQ4tokens19characters	6.0	
eltere	6.0	
:0	6.0	
ahnig	6.0	1.0
z'	6.0	1.0
?!	6.0	
sege	6.0	
Sie	5.0	
zwar	5.0	
S	5.0	
Voll	5.0	
sit	5.0	
zue	5.0	
hahahahaha	5.0	
öpper	5.0	
brucht	5.0	
mami	5.0	
huere	5.0	
gahd	5.0	
mittag	5.0	
chume	5.0	
D	5.0	
wäg	5.0	
redactedQ6tokens27characters	5.0	
Guet	5.0	
mau	5.0	
höt	5.0	
Nix	5.0	
definitiv	5.0	
wir	5.0	
met	5.0	
lieber	5.0	
ein	5.0	
von	5.0	
irgendwie	5.0	
eis	5.0	
easy	5.0	1.0
gange	5.0	
gang	5.0	
stress	5.0	
emojiQtwoHearts	5.0	
chum	5.0	
klar	5.0	
emojiQpersonWithFoldedHands	5.0	
gäh	5.0	
man	5.0	
ez	5.0	1.0
lüüt	5.0	
vllt	5.0	
aufstehen	5.0	
do	5.0	
usgseht	5.0	
Eifach	5.0	
chöne	5.0	
chönt	5.0	
egal	5.0	
gse	5.0	
sogar	5.0	
redactedQ7tokens35characters	5.0	
redactedQ5tokens21characters	5.0	1.0
redactedQ6tokens28characters	5.0	
auf	5.0	
Denn	5.0	1.0
normal	5.0	1.0
iaaa	5.0	
dezue	5.0	
weish	5.0	
glücklich	5.0	
redactedQ6tokens33characters	5.0	
gross	5.0	1.0
druf	5.0	
susch	5.0	
De	5.0	
redactedQ8tokens32characters	5.0	
chönnt	5.0	
sehr	5.0	
zeme	5.0	
0.	5.0	
findet	5.0	
klass	5.0	2.0
stund	5.0	
interessiert	5.0	
mech	5.0	
wenig	5.0	
wieso	5.0	
geld	5.0	
redactedQ7tokens39characters	5.0	
schuel	5.0	
glich	5.0	1.0
noed	5.0	
schon	5.0	
gell	5.0	
redactedQ7tokens36characters	5.0	
nimmt	5.0	
Ne	5.0	
n	5.0	
redactedQ2tokens14characters	5.0	
interesse	5.0	
haben	5.0	
hmm	5.0	
nömm	5.0	
stah	5.0	
spöter	5.0	
dis	5.0	
redactedQ7tokens37characters	5.0	
dim	5.0	
verbi	4.0	
händ	4.0	
deine	4.0	
emojiQpoutingFace	4.0	
hets	4.0	
noni	4.0	
abig	4.0	
meinsch	4.0	
selber	4.0	
chönnted	4.0	
#	4.0	2.0
komisch	4.0	
mehrmals	4.0	
dert	4.0	
zerst	4.0	
trotzdem	4.0	
hm	4.0	
muesh	4.0	
chaufe	4.0	
wenigstens	4.0	
redactedQ16tokens74characters	4.0	1.0
emojiQsmilingFaceWithHalo	4.0	
familie	4.0	
epper	4.0	
nüd	4.0	
scheisse	4.0	
Ha	4.0	
gsehn	4.0	
Wenn	4.0	
nit	4.0	
redactedQ8tokens41characters	4.0	
6i	4.0	1.0
Er	4.0	
debi	4.0	
redactedQ4tokens16characters	4.0	
diese	4.0	
redactedQ6tokens34characters	4.0	
jez	4.0	
grund	4.0	
gester	4.0	
E	4.0	
redactedQ3tokens17characters	4.0	
;	4.0	
fo	4.0	
klappet	4.0	
wet	4.0	
emojiQcherryBlossom	4.0	
weil	4.0	
nüt	4.0	
würded	4.0	
Annatina	4.0	
je	4.0	
Freund	4.0	
gsund	4.0	
lueg	4.0	1.0
be	4.0	
döt	4.0	
willsh	4.0	
kommt	4.0	
mush	4.0	
has	4.0	
nume	4.0	2.0
on	4.0	
johr	4.0	2.0
typ	4.0	
klappt	4.0	
besch	4.0	
kleider	4.0	
schnell	4.0	
gratis	4.0	
sis	4.0	
falls	4.0	
Problem	4.0	
tuet	4.0	
blibt	4.0	
hans	4.0	
danke	4.0	
Abr	4.0	1.0
1.	4.0	
Wie	4.0	
mitenand	4.0	
sg	4.0	1.0
redactedQ10tokens54characters	4.0	
gid	4.0	
zit	4.0	
werde	4.0	
emojiQpileOfPoo	4.0	
becho	4.0	
guete	4.0	1.0
4.	4.0	
we	4.0	
samstig	4.0	
stresse	4.0	
redactedQ5tokens28characters	4.0	
la	4.0	
körper	4.0	
usw	4.0	1.0
krank	4.0	
redactedQ9tokens42characters	4.0	
liebt	4.0	
redactedQ4tokens22characters	4.0	
magsch	4.0	
buebe	4.0	
