	dass	dfcp
,	573.0	12.0
.	279.0	2.0
und	223.0	5.0
ich	207.0	4.0
?	194.0	4.0
so	180.0	5.0
au	120.0	2.0
i	119.0	6.0
isch	118.0	6.0
han	117.0	1.0
de	116.0	4.0
du	111.0	2.0
ned	107.0	
aber	105.0	2.0
Ich	100.0	1.0
das	90.0	1.0
het	88.0	1.0
nid	88.0	1.0
emojiQfaceWithTearsOfJoy	86.0	
es	86.0	
!	83.0	4.0
...	82.0	2.0
scho	79.0	2.0
no	75.0	2.0
denn	74.0	1.0
nöd	73.0	1.0
sie	72.0	
ha	71.0	4.0
..	68.0	2.0
Jo	66.0	1.0
er	65.0	1.0
mer	63.0	1.0
guet	63.0	1.0
mediaQremoved	62.0	
mir	62.0	3.0
ish	61.0	
Und	60.0	3.0
ja	59.0	1.0
:)	58.0	2.0
eifach	57.0	
am	56.0	3.0
mit	56.0	1.0
dass	55.0	1.0
emojiQheavyBlackHeart	55.0	
Aber	52.0	2.0
s	52.0	1.0
dir	50.0	
jo	48.0	1.0
^^	47.0	1.0
will	46.0	
d	46.0	
weiss	45.0	3.0
voll	45.0	
uf	44.0	5.0
vo	44.0	1.0
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	44.0	
die	43.0	
hani	43.0	1.0
si	42.0	3.0
bi	42.0	2.0
gseit	42.0	
gsi	41.0	2.0
hesch	40.0	
redactedQ1tokens4characters	39.0	
mal	39.0	
sicher	39.0	1.0
emojiQfaceThrowingAKiss	37.0	
I	37.0	
redactedQ1tokens3characters	37.0	1.0
Ja	37.0	1.0
glaub	37.0	1.0
luege	37.0	1.0
im	37.0	2.0
grad	37.0	1.0
denkt	36.0	
nur	36.0	
gwüsst	35.0	
wenn	35.0	
Du	34.0	
redactedQ1tokens2characters	34.0	
hend	33.0	
bin	33.0	2.0
der	32.0	1.0
emojiQwhiteSmilingFace	32.0	
oder	32.0	
en	31.0	1.0
Haha	31.0	
gha	31.0	
wo	30.0	2.0
chli	29.0	
mich	28.0	
was	28.0	1.0
welle	28.0	
emojiQthumbsUpSign	27.0	
mi	27.0	1.0
dich	26.0	
wie	26.0	
:	26.0	
hed	25.0	
z	25.0	
ah	25.0	
redactedQ1tokens6characters	25.0	
für	25.0	1.0
e	25.0	
S	25.0	
da	25.0	1.0
hahaha	24.0	
haha	24.0	
)	24.0	
emojiQsmilingFaceWithSmilingEyes	24.0	1.0
jetzt	23.0	
""""	23.0	2.0
emojiQgrinningFaceWithSmilingEyes	23.0	
in	23.0	
redactedQ1tokens1characters	23.0	
sege	23.0	
'	23.0	
doch	23.0	
cho	23.0	1.0
Han	23.0	
bisch	23.0	2.0
gseh	23.0	2.0
weisch	23.0	2.0
-	22.0	
hoffe	22.0	
mega	22.0	
&	22.0	
go	21.0	
also	21.0	
mache	21.0	
sich	21.0	
gseid	20.0	
:D	20.0	
redactedQ1tokens5characters	20.0	
gmerkt	20.0	
xD	20.0	1.0
sorry	20.0	
zum	20.0	
nie	19.0	1.0
Das	19.0	
;)	19.0	1.0
ebe	19.0	2.0
Es	19.0	
hett	18.0	
ist	18.0	
sind	18.0	
hei	18.0	1.0
redactedQ2tokens8characters	18.0	1.0
ihre	18.0	
bis	18.0	
gmacht	17.0	
immer	17.0	2.0
esch	17.0	
dier	17.0	1.0
Denn	17.0	
di	17.0	3.0
redactedQ2tokens10characters	17.0	
Was	17.0	1.0
!!	17.0	
zu	17.0	
hesh	17.0	
seit	16.0	2.0
säge	16.0	1.0
bim	16.0	
hüt	16.0	
Ha	16.0	1.0
redactedQ3tokens13characters	16.0	
wieso	16.0	
problem	16.0	1.0
alles	16.0	
eif	15.0	
abr	15.0	1.0
em	15.0	
chasch	15.0	1.0
emojiQsmilingFaceWithHeartShapedEyes	15.0	
viel	15.0	
redactedQ2tokens7characters	15.0	
etz	15.0	
a	15.0	
meh	15.0	
wer	15.0	
us	14.0	
emojiQsmilingFaceWithOpenMouth	14.0	
Wenn	14.0	
emojiQsmirkingFace	14.0	
seg	14.0	
halt	14.0	2.0
:/	14.0	
irgendwie	14.0	
wichtig	14.0	
druf	14.0	1.0
kei	14.0	
klar	14.0	1.0
sii	14.0	
De	14.0	1.0
cha	14.0	1.0
dä	14.0	
mier	14.0	2.0
als	14.0	
wünsch	13.0	
