	0	1	2	3	4	5	6	7	8	9
hie	1	0	0	0	0	0	0	0	0	0
aus	0	2	1	0	0	1	2	0	0	1
durchdiener	0	0	1	0	0	0	0	0	0	0
si	84	4	1	8	4	7	7	2	3	5
redactedQ1tokens2characters	0	0	0	3	5	4	3	2	4	4
redactedQ5tokens15characters	0	0	0	0	0	1	0	0	0	0
Nei	0	0	0	1	1	2	2	2	3	1
du	206	8	1	0	6	4	8	14	12	6
seisch	0	0	2	0	0	0	0	0	1	0
^^	0	0	1	3	7	5	3	5	6	6
mir	28	14	7	5	3	0	1	9	8	2
gô	0	1	0	0	0	0	0	0	0	0
ga	0	0	3	0	1	0	0	1	0	0
heufe	0	0	0	1	0	0	0	0	0	0
>	0	0	0	0	1	0	1	0	0	0
?	0	5	8	15	31	27	30	14	19	17
Zersch	0	0	0	0	0	0	1	0	0	0
chume	0	1	1	1	0	0	0	2	0	0
vorauem	0	0	0	0	0	0	0	0	1	0
mau	0	1	1	0	0	0	0	2	0	1
sie	107	14	3	0	6	4	1	2	3	6
mit	3	22	12	9	7	3	6	2	7	8
dere	0	2	3	1	0	1	0	0	1	0
küdr	0	0	0	1	0	0	0	0	0	0
initiative	1	0	0	0	1	0	0	1	0	0
dürechöme	0	0	0	0	0	1	0	0	0	0
Uslandisatz	0	0	0	0	0	0	1	0	0	0
Fängti	0	0	0	0	0	0	0	1	0	0
o	0	1	0	0	0	0	1	0	1	1
easy	0	0	1	0	0	0	1	0	0	2
dr	7	1	0	1	0	1	0	0	0	1
für	0	4	2	5	2	4	2	5	3	3
das	39	55	10	4	7	5	9	4	13	12
bo	0	0	0	1	0	0	0	0	0	0
zit	0	2	0	0	1	1	0	0	0	0
berchömet	0	0	0	0	0	1	0	0	0	0
:)	0	0	1	0	4	7	6	7	9	10
redactedQ5tokens21characters	0	0	0	2	0	1	0	1	0	0
Ja	0	0	0	1	0	3	4	0	4	0
chumm	0	0	0	0	0	0	0	0	0	1
ich	197	3	2	5	5	12	13	17	5	12
dich	3	20	2	3	1	3	3	1	5	4
uf	3	20	9	6	6	9	6	5	9	4
ihn	1	10	1	1	3	1	0	0	2	0
ufmerksam	0	0	0	0	1	0	0	0	0	0
mach	0	0	1	1	0	4	1	1	0	0
....	0	0	1	2	3	2	1	2	1	1
Also	0	0	0	1	1	1	1	3	1	0
ned	8	25	14	13	2	6	6	6	6	6
ernst	0	0	0	0	0	0	0	0	0	1
de	47	26	19	15	9	8	12	10	6	11
lehrer	0	2	0	0	0	1	0	0	0	0
latschprüefig	0	0	1	0	0	0	0	0	0	0
verlore	0	1	0	2	0	0	0	0	0	0
het	0	0	1	11	13	11	9	7	9	8
emojiQfaceWithTearsOfJoy	0	0	2	8	20	19	15	11	13	8
hahah	0	0	0	0	0	0	2	0	1	0
oke	0	0	0	0	0	0	0	1	0	0
;)	0	1	1	5	5	0	4	1	4	3
raab	0	1	0	0	0	0	0	0	0	0
ihm	1	1	2	1	1	4	0	1	2	2
e	2	9	5	4	1	5	3	6	5	7
absenz	0	0	0	0	1	0	0	0	0	0
unterschriibt	0	0	0	0	0	1	0	0	0	0
hahaha	0	0	0	3	1	3	4	8	2	2
geil	0	0	0	0	0	0	0	0	1	0
d	46	14	6	6	5	6	5	2	9	5
nimmsch	0	1	0	0	0	0	0	0	0	0
bliib	0	0	0	0	1	0	0	0	0	0
...	0	0	3	17	17	20	22	9	11	10
Du	2	0	0	0	0	5	4	2	3	1
eigentlich	0	3	2	1	0	0	0	0	2	1
""""	0	2	2	8	10	0	3	6	1	1
weggrisse	0	0	0	1	0	0	0	0	0	0
ha	0	0	4	5	4	10	5	6	3	1
sell-	0	0	0	0	0	0	1	0	0	0
.	0	0	13	41	44	34	43	42	24	35
-	0	1	1	5	0	2	1	0	1	1
'	0	2	0	2	0	4	2	2	1	4
ihri	2	1	1	2	0	1	0	0	1	0
frau	0	1	1	0	1	0	0	0	0	0
spielt	0	0	0	1	0	0	0	0	0	0
zum	0	3	3	1	4	3	1	4	0	3
schleime	0	0	0	0	0	1	0	0	0	0
:'D	0	0	0	0	0	0	3	0	1	0
ja	0	2	1	1	5	6	4	8	5	3
also	0	0	0	0	2	1	3	2	2	2
er	105	0	1	1	3	1	7	3	4	4
nackt	0	1	0	0	0	0	0	0	0	0
gsi	0	0	3	4	4	1	2	3	4	3
isch	2	3	12	25	28	28	24	11	9	7
und	0	3	10	27	30	31	31	17	17	18
denn	6	13	10	4	4	10	8	9	10	14
hemmer	0	0	0	0	0	0	1	0	0	1
polizei	0	0	0	0	0	0	0	1	0	1
gruefe	0	0	0	0	0	0	0	0	1	0
..	0	0	3	5	5	12	11	4	6	10
ichs	6	0	0	0	0	0	0	0	0	0
besser	0	3	4	0	1	1	0	1	1	2
chan	1	0	6	3	5	3	2	1	1	1
abr	0	0	0	1	0	0	1	1	1	2
