	0	1	2	3	4	5	6	7	8	9
vorsteue	1	0	0	0	0	0	0	0	0	0
ni	0	3	0	1	0	0	0	0	0	0
Chamer	0	0	1	0	0	0	0	0	0	0
mediaQremoved	0	2	5	6	10	9	7	8	8	7
redactedQ3tokens16characters	0	0	0	1	3	0	3	1	1	1
redactedQ1tokens4characters	0	1	2	1	5	10	3	10	2	5
^^	1	3	1	10	6	9	4	5	3	5
weich	0	0	0	0	0	1	0	1	0	0
Eifach	0	0	0	1	0	0	0	0	1	0
hundesôhn	0	0	0	0	0	0	0	0	0	1
chance	3	0	0	0	0	0	0	0	0	0
d	0	7	10	2	5	3	4	5	4	6
isch	5	15	15	14	14	13	7	9	15	11
gross	1	1	0	1	0	0	0	0	0	0
Wie	0	0	3	0	2	0	0	0	2	0
.	1	20	22	38	48	40	40	25	26	19
ned	27	23	10	7	4	9	6	8	4	9
was	2	3	3	1	3	1	3	4	3	5
u	0	0	0	0	0	0	0	1	2	0
bruuche	0	0	0	0	0	1	0	0	0	1
ah	10	1	2	0	3	3	2	4	0	0
nime	0	1	1	0	0	0	0	0	0	0
Aber	2	7	2	10	7	6	4	6	5	3
Schmutz	0	0	0	0	1	0	0	0	0	0
dr	0	0	4	0	0	3	0	2	1	3
wi	0	2	0	0	0	0	1	0	0	0
mache	2	3	3	0	1	2	0	1	6	3
wür	0	0	1	0	0	0	0	2	0	1
geil	2	1	0	0	0	0	0	0	0	2
Ds	0	0	1	0	0	0	0	1	0	1
so	20	28	28	29	9	19	11	11	13	12
oder	3	1	4	3	5	3	5	4	1	3
schwümme	0	0	0	0	0	0	1	0	0	0
go	0	0	3	3	1	4	1	2	1	6
me	1	1	1	1	1	1	4	0	2	1
äuä	0	0	0	0	0	0	0	0	0	1
will	5	9	7	9	4	3	2	3	1	3
sylvestre	0	1	0	1	0	0	0	0	0	0
de	0	6	20	10	9	14	15	18	16	8
aber	7	16	13	15	16	8	10	9	5	6
umeschrei	0	0	0	0	1	0	0	0	0	0
name	0	0	0	0	1	1	0	0	0	0
din	0	0	0	0	1	1	1	1	0	1
dassi	0	0	1	0	0	0	0	1	1	0
sry	1	0	0	0	0	0	0	0	1	0
mich	0	2	2	3	2	5	6	3	3	2
glaubt	4	2	0	2	0	0	0	0	0	0
mal	4	3	4	4	2	3	4	2	8	5
au	11	17	20	9	11	7	14	13	11	7
mer	4	9	10	5	3	4	4	8	9	7
het	2	17	16	15	11	3	7	7	4	6
Er	0	1	1	0	2	2	1	1	2	0
hahaha	0	3	1	1	4	1	3	2	4	5
Jaa	1	2	2	0	3	0	0	2	1	1
?	2	12	17	24	21	24	32	18	19	25
er	0	12	10	14	7	4	5	4	4	5
sonern	0	0	0	1	0	0	0	0	0	0
,	479	12	8	13	12	12	5	10	10	12
autogramm	0	0	0	0	0	1	0	0	0	0
wegem	0	0	1	0	0	0	1	0	0	0
ihn	1	2	0	0	3	0	0	0	3	1
freegt	0	0	0	0	0	0	0	0	0	1
profil	0	1	0	0	0	0	0	0	0	0
es	1	5	12	10	12	9	7	9	9	12
für	1	2	2	6	0	4	7	0	2	1
scho	11	16	5	7	4	8	7	5	7	9
weisch	10	6	1	1	0	0	2	0	2	1
:)	1	1	10	5	7	7	13	7	1	6
:P	0	0	0	3	0	0	1	2	0	1
zemegschisse	2	0	0	0	0	0	0	0	0	0
hends	0	0	1	2	1	0	0	0	0	1
han	8	9	29	24	12	11	8	6	6	4
aglüte	0	0	0	0	1	0	0	0	0	0
woni	0	0	1	0	0	2	0	2	0	1
und	27	19	31	21	23	25	21	23	20	13
abgheit	0	0	0	0	0	0	0	1	0	0
draht	0	0	0	0	0	0	0	0	1	0
bezahlt	1	0	0	0	0	0	0	0	0	0
frau	0	1	1	0	0	0	1	0	1	1
e	0	0	3	7	1	2	2	3	3	4
show	0	0	0	1	0	0	0	0	0	0
'd	0	0	0	0	1	0	0	0	0	0
sich	1	2	4	4	2	0	4	2	0	2
hend	2	3	3	4	4	1	2	4	7	3
alli	0	3	0	0	2	1	0	0	2	0
Haha	1	3	3	3	4	5	0	4	2	6
gmerkt	14	5	0	0	0	0	1	0	0	0
hemmer	0	0	2	1	0	0	0	0	1	0
denn	2	8	9	11	5	11	9	9	5	5
..	2	4	5	4	13	12	6	7	6	9
wecke	0	0	0	0	0	0	1	0	0	0
welle	8	2	7	1	2	2	3	3	0	0
dad	0	0	0	0	0	0	0	0	0	1
nid	22	16	10	6	5	3	8	4	8	6
seg	1	5	5	0	1	0	0	0	1	1
ich	1	12	55	34	30	11	16	12	17	19
also	4	3	4	0	5	3	1	0	0	1
scheisse	1	1	0	0	0	1	1	1	0	0
voll	0	11	7	3	1	4	5	4	5	5
schüsst	0	0	0	0	0	0	0	0	1	0
ziel	1	0	0	0	0	0	0	0	0	0
ihres	0	1	0	0	0	0	0	1	0	0
Isch	0	0	2	2	0	0	0	0	1	0
!!	0	0	0	3	2	3	2	3	1	3
ja	3	9	11	14	1	6	3	6	2	4
emojiQunamusedFace	0	0	1	2	4	1	5	0	0	0
lang	1	1	3	0	1	1	0	4	0	0
zu	0	1	3	1	0	3	3	1	4	1
nöd	17	21	12	2	3	2	8	3	2	3
eifach	11	14	9	2	3	2	3	3	4	6
ehm	0	2	1	2	0	2	1	1	1	0
:))	0	0	0	0	0	0	1	1	0	1
mitnimmsch	0	0	0	0	0	0	0	0	1	0
eppert	0	0	0	0	1	0	0	0	0	1
wend	1	1	2	1	0	0	0	0	0	0
sie	1	9	18	14	4	5	6	9	2	4
vor	0	2	1	1	0	0	1	1	4	2
dir	2	7	5	11	5	3	6	4	4	3
stell	0	0	0	0	0	1	0	0	1	0
jaa	0	0	0	2	0	0	4	1	0	2
ehmm	0	0	0	0	0	0	0	2	0	0
emojiQfaceWithTearsOfJoy	0	4	6	19	15	8	9	12	11	2
ufgfalle	1	1	0	0	0	0	1	0	1	0
vlt	2	0	1	1	0	1	0	0	1	1
;)*	0	0	0	0	0	1	0	0	0	0
;€	0	0	0	0	0	0	1	0	0	0
hani	0	3	9	6	10	2	3	3	3	4
mir	3	5	11	4	7	6	8	4	8	6
findet	2	2	0	1	0	0	0	0	1	2
wo	1	2	3	6	6	2	1	4	3	2
einzig	0	0	1	0	0	1	0	0	0	0
Bini	0	0	1	0	1	1	0	0	0	0
churz	0	0	0	0	1	2	1	0	0	0
chli	0	3	3	3	1	4	5	2	4	4
irwie	0	0	0	0	0	0	0	1	0	0
joo	0	0	0	0	0	0	0	0	1	0
gschriebe	2	2	0	0	0	0	2	1	1	0
ihm	0	3	2	1	0	0	0	2	0	1
emojiQseeNoEvilMonkey	0	0	1	1	1	3	0	1	0	2
würd	0	0	1	0	0	3	1	3	1	1
fühle	0	0	0	0	0	0	0	1	0	0
eppis	0	1	0	0	0	1	0	0	1	0
irgendwie	1	1	4	1	0	0	2	1	1	3
schad	2	0	0	1	0	0	1	0	0	0
ok	0	0	3	1	0	2	0	3	1	0
aah	0	1	0	0	0	0	0	0	1	0
bemerkt	1	2	0	0	0	0	0	0	0	1
eigentlich	0	2	1	0	1	2	1	0	0	2
jetzt	1	1	5	5	0	3	1	2	3	2
hesch	4	2	2	6	7	6	6	4	0	3
diir	0	0	0	0	0	1	0	0	0	0
vooll	0	0	0	0	0	0	1	0	1	0
guet	10	6	6	6	3	10	1	9	7	5
gahz	0	0	0	0	0	0	0	0	0	1
verzehlt	2	1	0	0	0	0	0	0	0	0
psshtt	0	0	0	1	0	0	0	0	0	0
agfange	0	0	0	0	0	1	1	0	0	0
""""	2	0	1	3	7	3	0	4	2	1
klarisa	0	0	0	0	0	0	0	0	1	0
exfründin	0	0	0	0	0	0	0	0	0	1
immer	2	1	2	3	0	1	3	3	0	2
denkt	13	7	4	0	1	4	0	1	5	1
sis	0	0	2	0	0	0	0	0	0	0
mini	0	0	1	3	3	1	1	1	1	1
macht	0	2	0	2	0	0	0	1	0	1
hormon	0	0	0	1	0	0	0	0	0	0
die	0	3	2	6	6	5	7	6	7	1
buchspeicheldrüse	0	0	0	0	0	0	0	0	1	0
eh	0	0	1	0	0	2	1	1	0	3
usglacht	1	0	0	0	0	0	0	0	0	0
hanen	0	1	0	0	0	0	0	0	0	0
ahh	0	0	1	0	1	0	1	0	0	0
hahahaha	0	0	0	2	1	1	0	1	0	1
scheiss	0	2	0	0	0	0	2	0	0	0
en	0	0	6	4	2	4	6	2	5	2
denenimmer	0	0	0	1	0	0	0	0	0	0
?!	0	0	0	1	1	3	1	1	1	1
kaputt	0	0	0	0	0	0	1	0	0	1
ischs	0	1	0	0	0	1	0	0	1	0
warum	0	0	1	1	0	1	1	0	1	1
hett	2	1	3	2	1	1	4	1	1	2
célestine	0	0	0	0	0	1	0	0	0	0
uf	3	3	3	8	3	1	6	6	7	4
nur	6	9	5	4	1	1	6	2	0	2
chunt	0	0	0	0	0	0	0	0	1	2
Die	0	0	0	0	3	1	0	1	1	2
gange	1	0	1	1	1	2	0	1	0	1
ahne	0	0	0	0	0	1	0	0	0	0
det	0	0	1	1	1	1	1	0	2	0
eus	0	1	1	0	0	0	0	0	0	1
kompizimmer	0	1	0	0	0	0	0	0	0	0
vors	0	0	1	0	0	0	0	0	0	0
simmer	0	0	0	0	1	0	0	2	1	0
Letschrmal	0	0	0	0	0	1	0	0	0	0
hahahaah	0	0	0	0	0	0	0	1	0	0
obe	0	0	1	0	0	0	3	0	1	0
nach	0	0	0	0	1	0	1	4	3	2
leid	3	3	0	0	0	0	3	0	0	0
mega	0	4	7	1	0	1	2	2	1	4
tuet	0	0	1	2	0	0	0	1	0	0
:	1	2	2	2	2	4	4	4	3	2
gfunde	2	1	0	0	0	2	2	1	0	0
min	0	0	1	1	1	3	0	1	1	2
30	0	0	0	1	0	0	0	0	0	2
verlege	0	1	0	0	0	0	0	0	0	0
ob	1	1	0	0	4	1	1	2	2	0
als	1	2	1	0	2	3	1	1	3	0
lacht	0	0	0	0	0	0	0	0	1	0
alug	0	0	0	0	0	0	0	0	0	1
emojiQspeakNoEvilMonkey	1	0	0	0	0	1	0	1	2	0
glaub	0	21	6	3	1	2	1	1	1	1
das	9	10	10	5	8	10	7	7	14	10
aha	1	0	0	0	1	0	0	0	1	0
seit	6	2	3	2	1	1	1	0	0	0
wer	2	0	2	0	0	2	2	1	2	4
Hopro	0	0	0	0	1	0	0	0	0	0
nei	0	0	1	3	1	1	1	1	1	1
sorry	6	2	0	0	1	2	1	3	3	2
haha	1	4	0	2	3	3	4	4	2	1
emojiQsmirkingFace	1	0	0	3	3	0	2	1	2	2
sicher	12	13	2	1	1	1	3	2	2	2
der	0	7	3	5	4	0	10	2	0	1
bisch	0	3	1	6	3	1	0	4	2	3
hmm	0	1	1	0	0	1	1	0	0	2
heh	0	0	0	0	0	0	0	0	0	1
sii	6	1	0	2	2	1	1	0	0	1
Chan	0	0	1	0	0	0	0	0	0	0
lesbisch	0	0	0	0	0	0	1	0	0	0
:00	0	0	0	0	0	0	0	0	1	0
ganz	0	4	4	2	0	0	1	1	1	0
emojiQcryingFace	0	0	0	0	1	0	4	1	1	0
alles	0	0	0	0	6	6	0	2	1	1
wär	4	1	1	0	2	0	1	0	1	0
Merci	3	1	0	0	1	1	2	1	0	0
gmacht	1	4	1	0	3	0	2	3	0	3
photoshop	0	0	0	0	0	0	0	1	0	0
mit	0	1	5	9	7	6	3	10	8	7
gseit	20	9	2	3	1	3	2	0	0	2
dass	0	3	5	8	6	2	5	12	7	7
ghofft	2	0	0	0	0	0	0	0	0	0
derb	0	1	0	0	0	0	0	0	0	0
verbicho	0	0	0	0	0	1	0	0	0	0
ihr	0	0	1	1	0	0	0	1	0	1
sind	0	0	0	3	1	1	1	4	4	4
Denn	0	2	1	5	1	3	3	1	0	1
bizbringe	1	0	0	0	0	0	0	0	0	0
versucht	0	1	0	1	0	0	0	0	0	0
ihrere	0	0	0	1	0	0	0	0	0	0
linda	0	0	0	0	1	0	0	0	0	0
:(	0	0	2	1	1	1	4	2	0	0
oh	0	0	0	1	0	0	1	2	1	0
weiss	9	17	3	1	1	1	5	2	2	4
Ich	0	12	27	21	11	10	3	6	4	6
verzellt	3	4	1	0	0	0	1	1	0	0
nüt	0	1	1	1	1	0	1	1	1	1
mitneh	1	0	0	1	0	0	0	0	1	1
geld	0	1	1	0	0	0	0	1	0	1
kei	0	0	3	2	1	0	0	3	3	2
sell	0	0	1	2	1	0	1	1	1	1
ihre	2	4	2	1	4	1	0	1	2	1
seisch	0	1	0	0	0	0	1	0	1	0
esse	0	0	0	0	1	0	1	0	4	0
lueg	4	1	0	1	0	0	0	0	0	1
tschentelman	0	0	0	0	1	0	0	0	0	0
abecho	0	1	0	0	1	0	0	0	0	0
wieder	0	0	0	0	3	0	1	3	1	2
quasi	1	0	0	0	0	0	0	0	0	0
heisst	2	3	3	1	0	1	0	0	1	0
schlecht	0	0	0	1	1	0	0	1	0	0
nedmal	0	0	0	0	0	0	1	0	0	0
:/	0	0	0	3	1	1	2	4	2	1
oww	0	0	0	0	0	0	0	0	1	0
:')	0	1	0	0	0	1	0	0	0	1
erzehlt	1	0	0	1	0	0	0	0	0	0
wem	0	0	0	0	0	0	1	1	0	0
ahnig	0	1	2	0	1	0	0	0	0	0
hankei	0	0	0	1	0	0	0	0	0	0
du	3	15	14	12	11	9	11	10	15	11
susch	0	0	0	1	1	0	0	1	1	0
chasch	1	3	0	2	1	2	1	1	2	2
heii	0	0	0	0	0	0	0	0	0	1
hahah	1	0	0	0	1	0	0	0	0	0
nechst	0	0	1	0	0	0	0	0	0	0
Machsch	0	0	0	0	0	1	0	0	0	0
:D	0	0	2	2	1	3	5	4	1	2
da	0	1	3	0	2	1	4	5	3	6
ding	0	0	0	1	0	0	0	0	0	1
gseiht	0	1	0	0	0	0	0	0	0	0
epperem	0	0	1	0	0	0	0	0	0	0
nie	1	3	3	2	2	2	2	3	1	0
ha	2	9	17	16	5	3	5	7	3	4
hahahhahaah	0	0	0	0	0	0	0	1	0	0
orakel	0	0	0	0	0	0	0	1	0	1
gott	0	0	0	0	1	1	0	0	0	1
hahhhahah	0	0	0	0	0	0	1	0	0	0
halt	3	1	1	3	0	0	4	1	0	1
erwahrtet	0	1	0	0	0	0	0	0	0	0
ghöre	1	0	0	1	0	0	0	0	0	0
sin	0	0	0	1	1	1	0	0	0	0
hahahahahaha	0	0	0	0	0	0	0	0	1	0
eu	0	1	1	0	1	0	1	0	0	0
wünsch	0	1	1	1	1	1	1	2	0	5
us	1	4	0	1	2	1	1	0	3	1
vorus	1	1	0	0	0	0	0	0	0	0
usegfunde	2	1	1	0	1	0	0	0	1	0
dein	0	0	0	0	0	1	0	0	1	0
sogar	2	1	0	0	0	0	1	1	2	1
use	1	0	1	0	1	0	0	0	0	0
find	0	1	2	1	0	0	1	1	2	2
alsoo	1	0	0	0	0	0	0	0	0	0
glück	0	0	0	2	0	0	0	1	0	0
viel	0	0	3	2	1	2	3	0	2	2
emojiQloudlyCryingFace	0	0	0	0	0	7	0	4	0	0
carlos	0	0	0	0	0	0	0	0	0	1
:O	0	0	0	0	1	1	0	0	0	0
bruchschs	0	0	0	0	0	0	0	1	0	0
bezwiefle	1	0	0	0	0	0	0	0	0	0
esff	0	0	1	0	0	0	0	0	0	0
ish	11	7	4	9	4	12	3	6	2	3
gell	0	0	0	1	0	0	3	0	0	1
rose	0	0	0	0	0	0	0	0	0	1
offiziell	0	0	0	0	1	0	0	0	0	0
eigentich	0	0	0	0	0	0	1	0	0	0
stahsch	0	0	0	0	0	0	0	1	0	0
wieso	7	0	0	1	2	1	0	0	4	1
bin	4	2	4	5	6	2	0	3	5	2
gsi	7	5	1	3	3	6	4	6	3	3
heiss	0	0	1	0	0	1	0	0	0	0
huere	0	3	2	1	0	0	0	0	0	0
hilft	0	0	0	0	0	0	1	0	0	0
emojiQrevolvingHearts	0	1	0	0	1	3	1	1	0	0
emojiQtwoHearts	0	1	0	0	3	2	1	1	1	0
-.-	0	0	0	0	0	1	0	0	0	0
blöööd	0	0	0	0	0	0	0	0	1	0
zemeschisst	1	0	0	0	0	0	0	0	0	0
fründin	0	0	0	1	1	0	0	0	0	0
echti	0	0	0	0	0	1	0	0	0	0
spiel	0	0	0	0	0	1	0	1	0	0
stund	0	1	0	0	0	0	1	2	0	1
h	0	0	1	0	0	0	0	0	0	0
'	1	1	3	4	6	2	1	3	1	1
froh	5	5	0	0	0	0	0	1	0	0
!	0	5	5	9	13	11	10	6	17	7
richtig	1	1	0	0	2	2	0	0	0	1
HahA	0	0	0	0	1	0	0	0	0	0
emojiQokHandSign	0	0	1	0	3	1	0	0	0	0
luege	23	4	0	2	2	0	2	3	1	0
sochlii	1	0	0	0	0	0	0	0	0	0
bis	0	3	2	4	2	2	4	0	0	1
:p	0	0	0	0	0	0	0	2	0	0
bonz	0	0	0	0	0	0	0	0	1	0
pff	0	0	0	0	0	1	0	0	0	1
direkt	0	0	0	0	0	1	1	0	0	1
vo	0	2	7	8	4	1	4	7	3	8
iwie	0	2	0	0	0	0	0	0	0	0
hoff	2	2	3	0	0	0	0	0	1	2
tztztz	0	0	0	0	1	0	0	0	0	0
meitli	0	1	0	0	1	1	1	0	0	0
somene	0	0	0	0	0	0	1	0	0	0
chunnt	0	0	0	0	0	0	0	1	1	0
klass	0	0	0	0	0	0	0	0	0	2
stimmt	1	1	0	0	0	1	1	0	0	1
ka	0	0	1	1	1	1	0	0	0	0
ahahah	0	0	1	1	0	0	0	0	0	0
druf	0	4	3	0	2	1	4	0	0	0
bilder	0	0	0	0	0	0	1	0	0	1
5	0	0	0	0	1	0	0	2	0	3
duuh	1	0	3	0	0	2	0	0	0	0
fick	0	0	1	1	0	0	0	0	0	0
zum	0	3	1	1	3	4	2	2	1	3
/	0	1	2	0	2	1	2	0	1	2
ellei	0	0	0	0	0	0	0	0	0	1
denksch	1	1	0	0	0	0	0	0	0	0
doppelfick	0	1	0	0	0	0	0	0	0	0
Hahaha	1	1	0	1	1	2	0	0	0	1
emojiQfaceWithOpenMouthAndColdSweat	0	0	0	0	0	3	0	0	0	0
emojiQfaceScreamingInFear	0	0	0	0	3	1	3	0	4	1
zeige	4	1	0	0	0	0	0	0	0	2
wellä	0	1	0	0	0	0	0	0	0	0
nume	0	2	2	1	0	0	0	0	0	2
gar	0	0	6	2	0	0	1	1	2	1
pennt	0	0	0	0	1	0	0	1	0	0
obwohl	0	0	2	0	0	0	0	1	0	0
(	0	0	4	3	0	2	1	0	1	0
grössere	0	0	0	0	0	1	0	0	0	0
armselig	1	0	0	0	0	0	0	0	0	0
iaaa	0	0	0	0	1	0	0	0	0	0
roll	0	0	1	0	0	0	0	0	0	0
cm	0	0	0	0	0	0	1	0	0	0
11	0	0	0	0	0	1	0	1	0	0
zettel	0	0	0	0	0	0	0	0	0	1
merke	2	1	0	0	0	0	0	0	0	0
blöd	2	0	1	0	1	0	0	0	0	0
z	0	5	6	2	2	0	3	2	1	4
wet	4	3	1	2	0	0	1	1	0	1
sege	12	2	2	2	1	1	0	1	1	1
ft	0	0	0	0	0	0	1	0	0	0
bi	0	0	2	5	7	3	7	5	9	4
