	0	1	2	3	4	5	6	7	8	9
lisisch	1	0	0	0	0	0	0	0	0	0
wünsch	0	1	0	0	0	0	0	0	0	0
der	0	0	1	0	0	0	0	0	0	0
en	0	0	0	1	0	0	0	0	0	0
guete	0	0	0	0	1	0	0	0	0	0
morge	0	0	0	0	0	1	0	0	0	0
emojiQfaceThrowingAKiss	0	0	0	0	0	0	3	0	0	0
emojiQheavyBlackHeart	0	0	0	0	0	0	0	2	0	0
Guete	0	0	0	0	0	0	0	0	0	1
rechne	2	0	0	0	0	0	0	0	0	0
muesch	0	2	0	0	0	0	0	0	0	0
GA	0	0	2	0	0	0	0	0	0	0
zweiti	0	0	0	2	0	0	0	0	0	0
klass	0	0	0	0	2	0	0	0	0	0
muni	0	0	0	0	0	2	0	0	0	0
pro	0	0	0	0	0	0	2	0	0	0
johr	0	0	0	0	0	0	0	2	0	0
mit	0	0	0	0	0	0	0	0	2	0
NNNN.-	0	0	0	0	0	0	0	0	0	2
d'	1	0	0	0	0	0	0	0	0	0
experte	0	1	0	0	0	0	0	0	0	0
alles	0	0	1	0	0	0	0	0	0	0
lueget	0	0	0	1	0	0	0	0	0	0
redactedQ3tokens11characters	0	0	0	0	1	0	0	0	0	0
Aso	0	0	0	0	0	1	0	0	0	0
uf	0	0	0	0	0	0	1	0	0	0
eim	0	0	0	0	0	0	0	1	0	0
ski	0	0	0	0	0	0	0	0	1	0
fahre	0	0	0	0	0	0	0	0	0	1
bestange	1	0	0	0	0	0	0	0	0	0
hesh	0	1	0	0	0	0	0	0	0	0
:P	0	0	1	0	0	0	0	0	0	0
Nii	0	0	0	1	0	0	0	0	0	0
moooou	0	0	0	0	1	0	0	0	0	0
baby	0	0	0	0	0	1	0	0	0	0
emojiQloudlyCryingFace	0	0	0	0	0	0	0	0	1	0
psssst	0	0	0	0	0	0	0	0	0	1
es	1	0	0	0	0	0	0	0	0	0
liid	0	1	0	0	0	0	0	0	0	0
redactedQ4tokens21characters	0	0	1	0	0	0	0	0	0	0
Ok	0	0	0	1	0	0	0	0	0	0
redactedQ1tokens2characters	0	0	0	0	1	0	0	0	0	0
❤	0	0	0	0	0	1	0	0	0	0
Hesch	0	0	0	0	0	0	1	0	0	0
de	1	0	0	0	0	0	0	0	0	0
ahchunnsch	0	1	0	0	0	0	0	0	0	0
?	0	0	1	0	0	0	0	0	0	0
Hehe	0	0	0	1	0	0	0	0	0	0
bin	0	0	0	0	1	0	0	0	0	0
mal	0	0	0	0	0	1	0	0	0	0
ufem	0	0	0	0	0	0	1	0	0	0
gleis	0	0	0	0	0	0	0	1	0	0
7	0	0	0	0	0	0	0	0	1	0
u	0	0	0	0	0	0	0	0	0	1
