	0	1	2	3	4	5	6	7	8	9
Und	1	0	0	0	0	0	0	0	0	0
di	0	1	1	0	0	0	0	0	0	0
Lieb	0	0	1	0	0	0	0	0	0	0
gruess	0	0	0	1	0	0	0	0	0	0
en	0	0	0	0	1	0	0	0	0	0
fall	0	0	0	0	0	1	0	0	0	0
jede	0	0	0	0	0	0	1	0	0	0
uf	0	0	0	1	0	0	0	1	0	1
der	0	0	0	0	0	0	0	0	1	0
seit	0	0	0	0	0	0	0	0	0	1
,	2	0	0	0	0	0	0	0	0	0
ageh	0	2	0	0	0	0	0	0	0	0
richtwert	0	0	2	0	0	0	0	0	0	0
so	0	0	0	2	0	0	0	0	0	0
meistens	0	0	0	0	2	0	0	0	0	0
amigs	0	0	0	0	0	2	0	0	0	0
Hend	0	0	0	0	0	0	2	0	0	0
.	0	0	0	0	0	0	0	2	0	0
gsi	0	0	0	0	0	0	0	0	2	0
zhaw	0	0	0	0	0	0	0	0	0	2
nie	1	0	0	0	0	0	0	0	0	0
halt	0	1	0	0	0	0	0	0	0	0
weisch	0	0	1	0	0	0	0	0	0	0
Aber	0	0	0	1	0	0	0	0	0	0
söt	0	0	0	0	1	0	0	0	0	0
klappe	0	0	0	0	0	1	0	0	0	0
das	0	0	0	0	0	0	1	0	0	0
dinge	0	0	0	0	0	0	0	1	0	0
guter	0	0	0	0	0	0	0	0	1	0
bi	0	0	0	0	0	0	0	0	0	1
schwarz	1	0	0	0	0	0	0	0	0	0
^^	0	1	0	0	0	0	0	0	0	0
fresse	0	0	1	0	0	0	0	0	0	0
ha	0	0	0	2	0	0	0	0	0	0
gshafft	0	0	0	0	1	0	0	0	0	0
ni	0	0	0	0	0	1	0	0	0	0
dasis	0	0	0	0	0	0	1	0	0	0
wiss	0	0	0	0	0	0	0	0	1	0
usegfunde	1	0	0	0	0	0	0	0	0	0
hegisch	0	1	0	0	0	0	0	0	0	0
gmeint	0	0	1	0	0	0	0	0	0	0
Ha	0	0	0	1	0	0	0	0	0	0
redactedQ5tokens26characters	0	0	0	0	1	0	0	0	0	0
redactedQ2tokens8characters	0	0	0	0	0	1	0	0	0	0
?	0	0	0	0	0	0	1	0	0	0
natel	0	0	0	0	0	0	0	1	0	0
dim	0	0	0	0	0	0	0	0	1	0
Wäge	0	0	0	0	0	0	0	0	0	1
no	1	0	0	0	0	0	0	0	0	0
de	0	1	0	0	0	0	0	0	0	0
frage	0	0	1	0	0	0	0	0	0	0
blinzle	0	0	0	1	0	0	0	0	0	0
viu	0	0	0	0	1	0	0	0	0	0
huere	0	0	0	0	0	1	0	0	0	0
mengisch	0	0	0	0	0	0	1	0	0	0
dasi	0	0	0	0	0	0	0	1	0	0
problem	0	0	0	0	0	0	0	0	1	0
sones	0	0	0	0	0	0	0	0	0	1
Weisch	1	0	0	0	0	0	0	0	0	0
gleis	0	1	0	0	0	0	0	0	0	0
warte	0	0	0	0	1	0	0	0	0	0
bahnhof	0	0	0	0	0	1	0	0	0	0
am	0	0	0	0	0	0	1	0	0	0
scho	0	0	0	0	0	0	0	1	0	0
bin	0	0	0	0	0	0	0	0	1	0
ich	0	0	0	0	0	0	0	0	0	1
