	0	1	2	3	4	5	6	7	8	9
gschriebe	1	0	0	0	0	0	0	0	0	0
gnau	0	1	0	0	0	0	0	0	0	0
gester	0	0	1	0	0	0	0	0	0	0
ihm	0	0	0	1	0	0	0	0	0	0
ha	0	0	0	1	1	0	0	0	0	0
i	0	0	1	1	1	1	0	2	0	0
...	0	0	0	0	1	0	1	0	0	0
nonig	0	0	0	0	0	0	0	1	0	0
immer	0	1	0	0	0	0	0	0	1	0
schnalleds	0	0	0	0	0	0	0	0	0	1
usefindisch	1	0	0	0	0	0	0	0	0	0
ni	1	1	2	0	0	0	0	0	0	1
bevor	0	0	1	0	0	0	0	0	0	0
,	1	0	0	2	3	3	0	0	0	1
Ah	0	0	0	0	1	0	0	0	0	0
emojiQsmilingFaceWithSmilingEyes	0	0	0	0	0	1	0	0	0	0
hei	0	0	0	0	0	0	1	0	0	0
4i	0	0	0	0	0	0	0	1	0	0
am	0	0	0	0	0	0	0	0	2	0
sch	0	0	0	0	0	0	0	0	0	1
nüm	1	0	0	0	0	0	0	0	0	0
gar	0	1	0	0	0	0	0	0	0	0
äue	1	0	1	0	0	0	0	0	0	0
weiss	0	2	0	1	0	0	0	0	0	0
er	0	0	0	0	1	0	0	0	0	0
Abr	0	0	0	0	0	1	0	0	1	0
..	0	0	0	1	0	0	1	0	0	0
cool	0	0	0	0	0	0	0	1	0	0
Ooh	0	0	0	0	0	0	0	0	1	0
ball	0	0	0	0	0	0	0	0	0	1
genau	1	0	0	0	0	0	0	0	0	0
nonid	0	1	0	0	0	0	0	0	0	0
waiss	0	0	1	0	0	0	0	0	0	0
abr	0	0	0	0	1	0	0	0	0	0
Jo	0	0	0	0	0	1	0	0	0	0
redactedQ13tokens72characters	0	0	0	0	0	0	1	0	0	0
redactedQ1tokens3characters	0	0	0	0	0	0	0	1	0	0
;)	0	0	0	0	0	0	0	0	1	0
catia	0	0	0	0	0	0	0	0	0	1
usefinde	1	0	0	0	0	0	0	0	0	0
und	2	1	1	1	0	0	0	0	0	0
ahlüte	0	0	1	0	0	0	0	0	0	0
natel	0	0	0	1	0	0	0	0	0	0
mis	0	0	0	0	1	0	0	0	0	0
uf	0	0	0	0	0	1	1	0	0	0
ahgsetzt	0	0	0	0	0	0	1	0	0	0
druuf	0	0	0	0	0	0	0	1	0	0
kollege	0	0	0	0	0	0	0	0	1	0
ihri	0	0	0	0	0	0	0	0	0	1
ebe	1	0	0	0	0	0	0	0	0	1
du	0	1	0	0	0	0	1	0	0	0
weisch	0	0	1	0	0	0	0	0	0	0
Aber	0	0	0	1	0	0	0	0	0	0
cha	0	0	0	0	1	0	0	0	0	0
englisch	0	0	0	0	0	1	0	0	0	0
sogar	0	0	0	0	0	0	1	0	0	0
u	0	0	0	0	0	0	0	1	0	1
isch	0	1	2	0	0	1	1	0	1	0
gschit	0	0	0	0	0	0	0	0	0	1
gseh	1	0	0	0	0	0	0	0	0	1
ja	0	1	0	0	0	0	0	0	0	0
händ	0	0	1	0	0	0	0	0	0	0
mier	0	0	0	1	0	0	0	1	0	0
übernachte	0	0	0	0	0	1	0	0	0	0
dier	0	0	0	0	0	0	1	0	0	0
bi	0	0	0	0	0	0	0	1	0	0
öpert	0	0	0	0	0	0	0	0	1	0
sat	2	0	0	0	0	0	0	0	0	0
so	0	2	0	0	0	1	0	0	0	0
aber	0	0	1	1	0	0	0	0	0	0
au	0	0	0	1	0	0	1	0	0	0
hanni	0	0	0	0	0	0	0	1	0	0
dass	0	0	0	0	0	0	0	0	1	0
So	1	0	0	0	0	0	0	0	0	0
?	0	1	0	0	1	0	0	0	1	0
indéterminé	0	0	1	0	0	0	0	0	0	0
heisst	0	0	0	1	0	0	0	0	0	0
Was	0	0	0	0	1	0	0	0	0	0
!	0	1	0	1	0	1	1	0	0	0
ga	0	0	0	2	0	0	1	0	1	0
lang	0	0	0	0	0	0	0	1	0	0
no	0	0	0	0	0	0	0	0	1	0
demfau	0	0	0	0	0	0	0	0	0	1
recherche	0	0	1	0	0	0	0	0	0	0
üsi	0	0	0	1	0	0	0	0	0	0
was	0	0	0	0	1	0	0	0	0	0
über	0	0	0	0	0	1	0	0	0	0
säge	0	0	0	0	0	0	1	0	0	0
müesse	0	0	0	0	0	0	0	1	0	1
nume	0	0	0	0	0	0	0	0	1	0
mir	0	1	0	1	0	0	0	0	0	1
verstande	1	0	0	0	0	0	0	0	0	0
nonie	0	1	0	0	0	0	0	0	0	0
han	0	0	1	0	0	0	0	0	0	0
