	0	1	2	3	4	5	6	7	8	9
endet	1	0	0	0	0	0	0	0	0	0
emojiQsmilingFaceWithOpenMouthAndSmilingEyes	0	2	0	0	0	0	0	0	0	0
Du	0	0	1	0	0	0	0	0	0	0
losch	0	0	0	1	0	0	0	0	0	0
di	0	1	0	0	1	0	0	0	0	0
jo	0	0	0	0	0	2	0	0	0	0
glich	0	0	0	0	0	0	1	0	0	0
nid	0	1	0	0	0	0	0	1	0	0
umstimme	0	0	0	0	0	0	0	0	1	0
emojiQgrinningFaceWithSmilingEyes	0	0	0	0	0	0	0	0	0	2
,	1	1	2	2	1	1	1	1	1	0
ich	3	1	0	1	0	0	0	0	0	0
ha	0	0	1	0	0	0	0	0	0	1
nume	0	0	0	2	0	0	0	0	0	0
no	0	0	0	0	1	0	0	0	0	0
e	0	0	0	0	0	1	0	0	0	0
kliine	0	0	0	0	0	0	1	0	0	0
reste	0	0	0	0	0	0	0	1	0	0
u	0	0	0	0	0	0	0	0	1	1
gli	0	0	0	0	0	0	0	0	0	1
me	2	0	0	0	0	0	0	0	0	0
weiss	0	0	1	0	0	0	0	0	0	0
wie	0	0	0	1	0	0	0	0	0	0
lang	0	0	0	0	1	0	0	0	0	0
...	0	0	1	0	0	1	1	0	0	1
Ouu	0	0	0	0	0	0	1	0	0	0
das	1	0	0	0	0	0	0	0	1	0
isch	1	2	1	1	1	0	0	0	0	1
se	0	1	0	0	0	0	0	0	0	0
mache	0	0	1	0	0	0	0	0	1	0
usw	0	0	0	1	0	0	0	0	0	0
Und	0	0	0	0	1	0	0	0	0	0
dass	0	0	1	0	0	1	0	1	0	0
sie	0	0	0	0	0	1	1	0	0	0
üs	0	0	0	0	0	0	0	1	0	0
säge	0	0	0	0	0	0	1	0	1	0
was	0	0	0	0	0	0	0	0	1	1
zstandchunnt	0	1	0	0	0	0	0	0	0	0
Die	0	0	1	0	0	0	0	0	0	0
schissts	0	0	0	1	0	0	0	0	0	0
nur	0	0	0	0	1	0	0	0	1	0
ah	0	0	0	1	0	1	0	0	0	0
du	3	0	0	0	0	0	0	0	1	0
s	0	0	0	0	1	0	0	0	0	1
d'	5	0	0	0	0	0	0	0	0	0
bisch	0	3	1	0	0	0	0	0	0	0
:)	0	0	2	0	0	0	0	1	0	0
bis	0	0	0	1	0	0	0	0	0	0
när	0	0	0	0	1	0	0	0	0	0
!	0	0	0	0	0	1	0	0	0	0
Esta	0	0	0	0	0	0	1	0	0	0
bien	0	0	0	0	0	0	0	1	0	0
;)	0	1	0	0	0	0	0	1	1	0
te	0	0	0	0	0	0	0	0	0	1
glaube	0	1	0	0	0	0	0	0	0	0
mini	0	0	0	1	0	0	0	1	0	0
haar	0	0	0	0	1	0	0	0	0	0
vorher	0	0	0	0	0	1	0	0	0	0
gsi	0	0	0	0	0	0	1	0	0	1
sind	0	0	0	0	0	0	0	1	0	0
:P	0	0	1	0	0	0	0	0	1	0
&	0	0	0	0	0	0	0	0	0	1
passiert	1	0	0	0	0	0	0	0	0	0
si	0	0	1	0	0	0	1	0	0	0
wird	0	0	0	1	0	0	0	1	0	0
halt	0	0	0	0	1	0	0	0	0	0
alt	0	0	0	0	0	1	0	0	0	0
mis	0	0	0	0	0	0	1	0	0	0
maidli	0	0	0	0	0	0	0	1	0	0
emojiQsmilingFaceWithSmilingEyes	0	0	0	0	0	0	0	0	1	0
Haha	0	0	0	0	1	0	0	0	0	1
für	1	0	0	0	1	0	0	1	0	0
ehnder	0	0	1	0	0	0	0	0	0	0
eso	0	0	0	1	0	0	0	0	0	0
Ich	0	0	0	0	0	1	0	0	0	0
tuen	0	0	0	0	0	0	1	0	0	0
smurfs	0	0	0	0	0	0	0	0	1	0
krampfe	0	0	0	0	0	0	0	0	0	1
erfolglos	1	0	0	0	0	0	0	0	0	0
probiert	0	1	0	0	0	0	0	0	0	0
nai	0	0	0	0	0	1	0	0	0	0
funktioniert	0	0	0	0	0	0	0	1	0	0
iwandfrei	0	0	0	0	0	0	0	0	1	0
normal	1	0	0	0	0	0	0	0	0	0
gseit	0	0	0	1	0	0	0	0	0	0
händs	0	0	0	0	1	0	0	0	0	0
mit	0	0	0	0	0	1	0	0	2	0
witz	0	0	0	0	0	0	1	0	0	0
und	0	0	0	0	1	1	0	1	0	0
ganz	0	0	0	0	0	0	0	0	1	0
locker	0	0	0	0	0	0	0	0	0	1
hät	1	0	0	0	0	0	0	0	0	0
emojiQwinkingFace	0	1	0	0	0	0	0	0	0	0
Bis	0	0	1	1	0	0	0	0	0	0
am	1	0	0	1	0	0	0	0	0	0
6i	0	0	0	0	1	0	0	0	0	0
Was	0	0	0	0	0	1	0	0	0	0
nüm	0	0	0	0	0	0	0	1	0	0
?	0	0	2	1	0	0	0	0	1	1
Das	0	0	0	0	0	0	0	0	0	1
dank	0	0	1	0	0	0	0	0	0	0
em	0	0	0	1	0	0	0	0	0	0
rote	0	0	0	0	1	0	0	0	0	0
pünktli	0	0	0	0	0	1	0	0	0	0
emojiQsmilingFaceWithHorns	0	0	0	0	0	0	1	0	0	0
Bi	0	0	0	0	0	0	0	1	0	0
dir	0	0	0	0	0	0	0	0	1	0
boui	0	0	0	0	0	0	0	0	0	1
z'	0	1	0	0	0	0	0	0	0	0
sg	0	0	1	0	0	0	0	0	0	0
wohnsch	0	0	0	1	0	0	0	0	0	0
ig	0	0	0	0	0	0	1	0	0	0
so	0	0	0	0	0	0	1	2	0	0
kei	0	0	0	0	0	0	0	0	1	0
ahnig	0	0	0	0	0	0	0	0	0	1
mir	1	0	0	0	0	0	0	0	0	0
gässe	0	1	0	0	0	0	0	0	0	0
hei	0	0	1	0	0	0	0	0	0	0
mediaQremoved	0	0	0	1	0	0	0	0	1	0
Isch	0	0	0	0	1	0	0	0	0	0
rächt	0	0	0	0	0	1	0	0	0	0
ä	0	0	0	0	0	0	1	0	0	0
coole	0	0	0	0	0	0	0	1	0	0
ort	0	0	0	0	0	0	0	0	1	0
dr	2	1	0	0	0	0	0	0	0	0
lade	0	1	0	0	0	0	0	0	0	0
seg	0	0	1	0	0	0	1	0	0	0
:	0	0	0	0	0	0	0	1	0	0
ja	0	0	0	0	0	0	0	0	1	0
lueg	0	0	0	0	0	0	0	0	0	1
er	2	0	0	0	0	0	0	0	0	0
zwöit	0	0	1	0	0	0	0	0	0	0
teil	0	0	0	1	0	0	0	0	0	0
vo	0	0	0	0	1	0	0	0	0	0
sim	0	0	0	0	0	1	0	0	0	0
pratikum	0	0	0	0	0	0	1	0	0	0
Wöu	0	0	0	0	0	0	0	0	0	1
ds	1	0	0	0	0	0	0	0	0	0
raclette	0	1	0	0	0	0	0	0	0	0
öfeli	0	0	1	0	0	0	0	0	0	0
2	0	0	0	0	1	1	0	0	0	0
persone	0	0	0	0	0	0	1	0	0	0
Lug	0	0	0	0	0	0	0	0	0	1
Also	0	0	0	1	0	0	0	0	0	0
ez	0	0	0	0	1	0	0	0	0	0
bini	0	0	0	0	0	1	0	0	0	0
im	0	0	0	0	0	0	1	0	0	0
zweitvorderste	0	0	0	0	0	0	0	1	0	0
wage	0	0	0	0	0	0	0	0	1	0
Hetts	0	0	0	0	0	0	0	0	0	1
zug	0	1	0	0	0	0	0	0	0	0
häre	0	0	1	0	0	0	0	0	0	0
geit	0	0	0	3	0	0	0	0	0	0
Abr	0	0	0	0	1	0	0	0	0	0
de	1	0	0	0	0	1	0	0	0	0
äue	0	0	0	0	0	0	0	1	0	0
scho	0	0	0	0	0	0	0	0	1	0
uf	0	0	0	0	0	0	1	0	0	1
meint	0	1	0	0	0	0	0	0	0	0
dassi	0	0	1	0	0	0	0	0	0	0
i	1	0	0	2	0	0	0	0	0	0
wuche	0	0	0	0	0	1	0	0	0	0
(	0	0	0	0	0	0	0	1	0	0
es	2	0	0	0	0	0	0	0	0	0
Ja	0	0	0	1	0	0	0	0	0	0
doch	0	0	0	0	1	0	0	0	0	0
det	0	0	0	0	0	0	1	0	0	0
wo	0	0	0	0	0	0	0	1	0	0
mer	1	0	0	0	0	0	0	0	1	0
zu	0	0	0	0	0	0	0	0	0	1
marit	0	1	0	0	0	0	0	0	0	0
itz	0	0	1	0	0	0	0	0	0	0
ga	0	0	0	0	1	0	0	0	0	0
ässe	0	0	0	0	0	1	0	0	0	0
Zum	0	0	0	0	0	0	0	1	0	0
mexikaner	0	0	0	0	0	0	0	0	1	0
grad	0	1	0	0	0	0	0	0	0	0
.	0	0	0	1	0	0	0	0	0	1
#	0	0	0	0	2	0	0	0	0	0
big	0	0	0	0	0	1	0	0	0	0
brother	0	0	0	0	0	0	1	0	0	0
emojiQfaceWithStuckOutTongue	0	0	0	0	0	0	0	0	1	0
ahhhh	0	0	0	0	0	0	0	0	0	1
gönd	0	1	0	0	0	0	0	0	0	0
boaaar	0	0	1	0	0	0	0	0	0	0
bruch	0	0	0	0	1	0	0	0	0	0
dringe	0	0	0	0	0	1	0	0	0	0
d	0	0	0	0	0	0	1	0	0	0
feeerie	0	0	0	0	0	0	0	1	0	0
hey	0	0	0	0	0	0	0	0	1	0
übrigens	0	0	0	0	0	0	0	0	0	1
fahrsch	1	0	0	0	0	0	0	0	0	0
emojiQseeNoEvilMonkey	0	0	1	0	0	0	0	0	0	0
gad	0	0	0	0	1	0	0	0	0	0
beidi	0	0	0	0	0	1	0	0	0	0
:D	0	0	0	0	0	0	1	0	0	0
macheds	0	0	0	0	0	0	0	0	0	1
mueni	0	1	0	0	0	0	0	0	0	0
nonig	0	0	1	0	0	0	0	0	0	0
gross	0	0	0	1	0	0	0	0	0	0
go	0	0	0	0	1	0	0	0	0	0
sueche	0	0	0	0	0	1	0	0	0	0
emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	0	0	0	0	0	0	1	0	0	0
Ach	0	0	0	0	0	0	0	1	0	0
die	0	0	0	0	0	0	0	0	0	2
bi	0	2	0	0	0	0	0	0	0	0
:p	0	0	1	0	0	0	0	0	0	0
der	0	0	1	0	1	0	0	0	0	0
da	0	0	0	0	0	1	0	0	0	0
ned	0	0	0	0	0	0	1	0	0	0
sicher	0	0	0	0	0	0	0	0	1	0
kunnt	1	0	0	0	0	0	0	0	0	0
redactedQ16tokens74characters	0	0	1	0	0	0	0	0	0	0
redactedQ5tokens21characters	0	0	0	1	0	0	0	0	0	0
easy	0	0	0	0	0	0	1	0	0	0
Denn	0	0	0	0	0	0	0	0	1	0
warti	0	0	0	0	0	0	0	0	0	1
